id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00001174,罂粟碱,4680,0.6993,0.9236,0.368,0.5568,0.62,B:导师特征,B:HERB库特征,干净,0.2243
ccMon00001180,广藿香醇（百秋李醇）,10955174,0.07,0.1558,0.098,0.2286,0.31,B:导师特征,B:HERB库特征,干净,0.0858
ccMon00001182,对香豆酸（4-香豆素）,637542,0.896,0.9701,0.958,0.3684,0.42,B:导师特征,B:HERB库特征,干净,0.0741
ccMon00001184,对-伞花烃（4-异丙基甲苯）,7463,0.027,0.6983,0.032,0.3765,0.33,B:导师特征,B:HERB库特征,干净,0.6713
ccMon00001185,柳穿鱼黄素,5320438,0.822,0.5109,0.3538,0.2413,0.79,B:导师特征,B:HERB库特征,干净,-0.3111
ccMon00001186,柳穿鱼叶苷（大蓟苷）,168849,0.48,0.3726,0.6567,0.3824,0.73,B:导师特征,B:HERB库特征,干净,-0.1074
ccMon00001190,十五烷,12391,0.0975,0.478,0.0913,0.2695,0.79,B:导师特征,B:HERB库特征,干净,0.3805
ccMon00001191,十五酸,13849,0.838,0.9777,0.85,0.2197,0.3,B:导师特征,B:HERB库特征,干净,0.1397
ccMon00001192,perilla ketone,68381,0.202,0.2238,0.422,0.1209,0.35,B:导师特征,B:HERB库特征,干净,0.0218
ccMon00001193,紫苏醛,2724159,0.67,0.2304,0.15,0.0347,0.67,A:SMILES,B:HERB库特征,回填脏值,-0.4396
ccMon00001195,奈嵌苯酮,,0.94,0.2709,,0.0797,0.94,A:SMILES,A:SMILES,回填脏值,-0.6691
ccMon00001198,黄柏碱,3081405,0.884,0.9139,0.4293,0.7486,0.93,B:导师特征,B:HERB库特征,干净,0.0299
ccMon00001199,珊瑚菜内酯,98608,0.5645,0.9857,0.194,0.796,0.83,B:导师特征,B:HERB库特征,干净,0.4212
ccMon00001200,连翘脂素,12314161,0.71,0.6365,0.2147,0.3887,0.71,A:SMILES,B:HERB库特征,回填脏值,-0.0735
ccMon00001203,大黄素甲醚,10639,0.812,0.9191,0.848,0.7071,0.91,B:导师特征,B:HERB库特征,干净,0.1071
ccMon00001207,白皮杉醇,,0.7,0.5131,,0.0265,0.7,A:SMILES,A:SMILES,回填脏值,-0.1869
ccMon00001208,苦番红花素,130796,0.754,0.8399,0.154,0.1832,0.37,B:导师特征,B:HERB库特征,干净,0.0859
